"image_name","hex","chroma","model","status","response_hex","error_cromatic"
"00C859.png","00C859",0.586956820980811,"gpt-4o","ok","00FF66",56.5154846037792
"00C895.png","00C895",0.415979553814344,"gpt-4o","ok","00BFBF",42.9534631898291
"00EEAA.png","00EEAA",0.495010220293335,"gpt-4o","ok","00C8A3",38.6393581727233
"00F4D0.png","00F4D0",0.42218486075804,"gpt-4o","ok","00E6E6",26.0768096208106
"010E7C.png","010E7C",0.541499989241908,"gpt-4o","ok","0000FF",131.749762808136
"014F70.png","014F70",0.193720017900998,"gpt-4o","ok","1E4F5F",33.6154726279432
"015940.png","015940",0.232433912768995,"gpt-4o","ok","006644",13.6381816969859
"015CBE.png","015CBE",0.447186389403657,"gpt-4o","ok","3366CC",52.8772162656091
"019276.png","019276",0.301779959000372,"gpt-4o","ok","00A080",17.2336879396141
"01985E.png","01985E",0.393561516494048,"gpt-4o","ok","00A36C",17.832554500127
"01AE80.png","01AE80",0.378051219577185,"gpt-4o","ok","00B894",22.3830292855994
"01C8C3.png","01C8C3",0.31785809326278,"gpt-4o","ok","00C8C8",5.09901951359278
"01CEE6.png","01CEE6",0.30707803868192,"gpt-4o","ok","00B7C7",38.6134691526156
"01FAB2.png","01FAB2",0.515637705435004,"gpt-4o","ok","00FFCC",26.4952825989835
"02ADC1.png","02ADC1",0.269278898107785,"gpt-4o","ok","00B7BE",10.6301458127346
"02BCC0.png","02BCC0",0.293381489531456,"gpt-4o","ok","00B7BE",5.74456264653803
"02CA54.png","02CA54",0.607317784424355,"gpt-4o","ok","00FF40",56.6833308830736
"031284.png","031284",0.557522734242895,"gpt-4o","ok","0000FF",124.346290656376
"0400B4.png","0400B4",0.769073477756543,"gpt-4o","ok","0000FF",75.1065909225016
"0484E1.png","0484E1",0.415680714565862,"gpt-4o","ok","2A7BD8",40.0749298190278
"055A5A.png","055A5A",0.171761872768784,"gpt-4o","ok","006666",17.6918060129541
"0570F3.png","0570F3",0.57193905024704,"gpt-4o","ok","2A5DB0",78.8606365685695
"05E287.png","05E287",0.548335755908857,"gpt-4o","ok","22CCAA",50.4975246918104
"062936.png","062936",0.10279816005474,"gpt-4o","ok","0C1E23",22.7596133534821
"062CCC.png","062CCC",0.730184365293174,"gpt-4o","ok","0000FF",67.6239602507869
"064AC0.png","064AC0",0.542532532100872,"gpt-4o","ok","1E3A9B",46.9148164229596
"06711D.png","06711D",0.435512926277651,"gpt-4o","ok","008000",33.1963853453957
"06E47A.png","06E47A",0.592247470594089,"gpt-4o","ok","00FF99",41.545156155682
"06E586.png","06E586",0.561782374360804,"gpt-4o","ok","00D99F",28.3725219182222
"06F695.png","06F695",0.580176200858824,"gpt-4o","ok","2ED2A7",56.7450438364444
"071D8A.png","071D8A",0.535120127375836,"gpt-4o","ok","2E3192",44.5533388198909
"074F88.png","074F88",0.279866627305293,"gpt-4o","ok","2B4F7B",38.2753184180093
"083DE4.png","083DE4",0.749387763344967,"gpt-4o","ok","0000FF",67.1863081289633
"085A65.png","085A65",0.163997798659627,"gpt-4o","ok","1D5C63",21.1896201004171
"087CA4.png","087CA4",0.241735324362997,"gpt-4o","ok","2A8FAD",39.9749921826134
"0897D9.png","0897D9",0.326844872056443,"gpt-4o","ok","0096FF",38.8458491991101
"08A39E.png","08A39E",0.272110928614192,"gpt-4o","ok","00A5A5",10.816653826392
"08B5EA.png","08B5EA",0.312918025041858,"gpt-4o","ok","00A3E0",22.0907220343745
"08C1FB.png","08C1FB",0.331822754775699,"gpt-4o","ok","00BFFF",9.16515138991168
"08D23E.png","08D23E",0.688229236728353,"gpt-4o","ok","00FF00",77.0259696466069
"08ECE6.png","08ECE6",0.359042232925547,"gpt-4o","ok","00FFFF",32.4037034920393
"08F3A2.png","08F3A2",0.53307762330001,"gpt-4o","ok","00E0A0",20.712315177208
"090267.png","090267",0.501290122935132,"gpt-4o","ok","000080",26.6458251889485
"094F36.png","094F36",0.215110497958497,"gpt-4o","ok","0A4D3C",6.40312423743285
"096A65.png","096A65",0.198762549586641,"gpt-4o","ok","007C7C",30.5614135798723
"0974BA.png","0974BA",0.33045911929804,"gpt-4o","ok","2A6DB4",34.2636833980236
"09A94D.png","09A94D",0.507001478566192,"gpt-4o","ok","00A050",13.076696830622
"09C671.png","09C671",0.508825955570747,"gpt-4o","ok","00A57D",36.2491379207837
"0A4D28.png","0A4D28",0.253114823592276,"gpt-4o","ok","0B6623",25.5147016443461
"0A89B4.png","0A89B4",0.25805714139958,"gpt-4o","ok","2A8FAD",33.3016516106934
"0ADD41.png","0ADD41",0.716589840567023,"gpt-4o","ok","00FF00",74.0337760755184
"0B4C9A.png","0B4C9A",0.369064454662859,"gpt-4o","ok","2E4A7F",44.2492937796752
"0B5373.png","0B5373",0.189965921402393,"gpt-4o","ok","2A5C66",34.7994252826106
"0BA45B.png","0BA45B",0.445871344149019,"gpt-4o","ok","00A050",16.062378404209
"0C48CA.png","0C48CA",0.593902364751842,"gpt-4o","ok","1E3A9B",52.2398315464359
"0C48CD.png","0C48CD",0.606310700592754,"gpt-4o","ok","1E3A8A",70.774289116882
"0C686D.png","0C686D",0.182443480282427,"gpt-4o","ok","006666",14.0356688476182
"0D95E4.png","0D95E4",0.366435672356557,"gpt-4o","ok","2BA5E0",34.2344855372474
"0DB886.png","0DB886",0.395216837437658,"gpt-4o","ok","20C997",30.6431068920891
"0E7F9E.png","0E7F9E",0.225004564417123,"gpt-4o","ok","008080",33.1209903233584
