image_name,image_kb,hex,r,g,b,chroma,model,temperature,status,response_raw,response_hex,response_r,response_g,response_b,error_cromatic,elapsed_seconds,executed_at,error_message
942A08.png,20.82,942A08,148,42,8,0.4550535687340216,gpt-5,,ok,"{""r"": 178, ""g"": 78, ""b"": 48}",B24E30,178,78,48,61.61168720299745,3.783367872238159,2026-04-26T00:25:59,
942A08.png,20.82,942A08,148,42,8,0.4550535687340216,gpt-5.1,,ok,"{""r"": 175, ""g"": 60, ""b"": 30}",AF3C1E,175,60,30,39.20459156782532,1.946772813796997,2026-04-26T00:26:01,
942A08.png,20.82,942A08,148,42,8,0.4550535687340216,gpt-5.2,,ok,"{""r"":167,""g"":29,""b"":21}",A71D15,167,29,21,26.43860813280457,3.318632125854492,2026-04-26T00:26:04,
942A08.png,20.82,942A08,148,42,8,0.4550535687340216,gpt-5.4,,ok,"{""r"":165,""g"":59,""b"":8}",A53B08,165,59,8,24.041630560342615,5.1858439445495605,2026-04-26T00:26:10,
942A08.png,20.82,942A08,148,42,8,0.4550535687340216,gpt-5.5,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,0.0,9.158298015594482,2026-04-26T00:26:19,
9DD8C2.png,20.93,9DD8C2,157,216,194,0.1785957046226835,gpt-5,,ok,"{""r"": 177, ""g"": 232, ""b"": 223}",B1E8DF,177,232,223,38.691084244306204,7.547446727752685,2026-04-26T00:40:18,
9DD8C2.png,20.93,9DD8C2,157,216,194,0.1785957046226835,gpt-5.1,,ok,"{""r"": 170, ""g"": 240, ""b"": 230}",AAF0E6,170,240,230,45.17742799230607,2.0404632091522217,2026-04-26T00:40:20,
9DD8C2.png,20.93,9DD8C2,157,216,194,0.1785957046226835,gpt-5.2,,ok,"{""r"":206,""g"":244,""b"":245}",CEF4F5,206,244,245,76.06576102294646,2.1364378929138184,2026-04-26T00:40:22,
9DD8C2.png,20.93,9DD8C2,157,216,194,0.1785957046226835,gpt-5.4,,ok,"{""r"":238,""g"":251,""b"":248}",EEFBF8,238,251,248,103.45047124107265,6.96445894241333,2026-04-26T00:40:29,
9DD8C2.png,20.93,9DD8C2,157,216,194,0.1785957046226835,gpt-5.5,,ok,"{""r"":157,""g"":238,""b"":229}",9DEEE5,157,238,229,41.340053217188775,6.10936427116394,2026-04-26T00:40:35,
B74262.png,20.95,B74262,183,66,98,0.37631676425082283,gpt-5,,ok,"{""r"": 194, ""g"": 102, ""b"": 118}",C26676,194,102,118,42.62628297189423,4.985381603240967,2026-04-26T01:13:36,
B74262.png,20.95,B74262,183,66,98,0.37631676425082283,gpt-5.1,,ok,"{""r"": 200, ""g"": 100, ""b"": 115}",C86473,200,100,115,41.641325627314025,1.8104228973388672,2026-04-26T01:13:37,
B74262.png,20.95,B74262,183,66,98,0.37631676425082283,gpt-5.2,,ok,"{""r"":220,""g"":52,""b"":114}",DC3472,220,52,114,42.67317658670374,2.5829665660858154,2026-04-26T01:13:40,
B74262.png,20.95,B74262,183,66,98,0.37631676425082283,gpt-5.4,,ok,"{""r"": 225, ""g"": 72, ""b"": 113}",E14871,225,72,113,45.0,2.5376248359680176,2026-04-26T01:13:43,
B74262.png,20.95,B74262,183,66,98,0.37631676425082283,gpt-5.5,,ok,"{""r"":203,""g"":37,""b"":101}",CB2565,203,37,101,35.35533905932738,7.007787227630615,2026-04-26T01:13:50,
